course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,ISC Systems Security Certified Practitioner SSCP
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,A Crash Course in Causality  Inferring Causal Effects from Observational Data
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Intermediate,130k,A Crash Course in Data Science
A Law Student's Toolkit,Yale University,COURSE,4.7,Intermediate,91k,A Law Students Toolkit
A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Intermediate,320k,A Life of Happiness and Fulfillment
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,ADHD Everyday Strategies for Elementary Students
AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,AI For Everyone
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,AI For Medical Treatment
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,AI Foundations for Everyone
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,AI for Medical Diagnosis
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,AI for Medical Prognosis
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,AI for Medicine
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,AWS Fundamentals
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,AWS Fundamentals Addressing Security Risk
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,AWS Fundamentals Building Serverless Applications
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,AWS Fundamentals Going CloudNative
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,AWS Fundamentals Migrating to the Cloud
Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Intermediate,6.6k,Aboriginal Worldviews and Education
Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,Academic English Writing
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,Accelerated Computer Science Fundamentals
Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,Access Controls
Accounting Analytics,University of Pennsylvania,COURSE,4.5,Intermediate,80k,Accounting Analytics
Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k,Accounting for Decision Making
Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k,Achieving Personal and Professional Success
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,23k,Actualizacin en el manejo del paciente con diabetes mellitus tipo 2
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k,Addiction Treatment Clinical Skills for Healthcare Providers
Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k,Advanced Business Analytics
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,Advanced Data Science with IBM
Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,Advanced Machine Learning
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,Advanced Machine Learning with TensorFlow on Google Cloud Platform
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k,Advanced Valuation and Strategy  MA Private Equity and Venture Capital
Advertising and Society,Duke University,COURSE,4.8,Intermediate,14k,Advertising and Society
Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k,Age of Cathedrals
Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k,Agile Development
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k,Agile Meets Design Thinking
Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k,Agile with Atlassian Jira
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k,Agile  Scrum      
Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k,Algorithmic Toolbox
Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k,Algorithms
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k,Algorithms for Battery Management Systems
American Contract Law I,Yale University,COURSE,4.9,Beginner,18k,American Contract Law I
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k,An Introduction to American Law
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k,An Introduction to Consumer Neuroscience  Neuromarketing
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k,An Introduction to Programming the Internet of Things IOT
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k,Analysing Numeric and digital literacies
Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k,Anatomy
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k,Anatomy of the Chest Abdomen and Pelvis
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20k,Anatomy Musculoskeletal and Integumentary Systems
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Intermediate,8.1k,Ancient Philosophy Aristotle and His Successors
Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k,Android App Development
Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Intermediate,71k,Animal Behaviour and Welfare
Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11k,Antibiotic Stewardship
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k,Anticorrupcin Introduccin a conceptos y perspectiva prctica
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k,Antimicrobial resistance  theory and methods
Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220k,Applied Data Science
Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42k,Applied Data Science Capstone
Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k,Applied Data Science with Python
Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150k,Applied Machine Learning in Python
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97k,Applied Plotting Charting  Data Representation in Python
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k,Aprende a programar con Python
Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,200k,Aprender
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180k,Aprendiendo a aprender Poderosas herramientas mentales con las que podrs dominar temas difciles Learning How to Learn
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k,Architecting with Google Cloud Platform 
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,Architecting with Google Compute Engine
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,Architecting with Google Kubernetes Engine 
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,Arizona State University TESOL
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Intermediate,79k,Art  Activity Interactive Strategies for Engaging with Art
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Intermediate,31k,Art  Ideas Teaching with Themes
Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Intermediate,15k,Arts and Culture Strategy
Arts and Heritage Management,Università Bocconi,COURSE,4.8,Intermediate,15k,Arts and Heritage Management
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,Aspectos bsicos de la planificacin y la gestin de proyectos
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Intermediate,66k,Astrobiology and the Search for Extraterrestrial Life
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,Atencin Primaria en Salud El desafo de las Enfermedades no Transmisibles
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Intermediate,56k,Autism Spectrum Disorder
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,Autodesk CADCAM for Manufacturing
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9.2k,Autodesk CADCAMCAE for Mechanical Engineering
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22k,Autodesk Certified Professional AutoCAD for Design and Drafting Exam Prep
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9.7k,Autodesk Certified Professional Revit for Architectural Design Exam Prep
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13k,BIM Fundamentals for Engineers
Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180k,Basic Statistics
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91k,Bayesian Statistics From Concept to Data Analysis
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29k,Bayesian Statistics Techniques and Models
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Intermediate,210k,Become a CBRS Certified Professional Installer by Google
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k,Become a Journalist Report the News
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4.2k,Become a Sustainable Business Change Agent
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.5k,Becoming a Sports Agent
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61k,Becoming a changemaker Introduction to Social Innovation
Behavioral Finance,Duke University,COURSE,4.4,Intermediate,55k,Behavioral Finance
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Intermediate,2.3k,Beyond the Sustainable Development Goals SDGs Addressing Sustainability and Development
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8.8k,Big Data  Introduccin al uso prctico de datos masivos
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35k,Biohacking Your Brains Health
